B01001_001E,B01001_002E,B01001_003E,B01001_004E,B01001_005E,B01001_006E,B01001_007E,B01001_008E,B01001_009E,B01001_010E,B01001_011E,B01001_012E,B01001_013E,B01001_014E,B01001_015E,B01001_016E,B01001_017E,B01001_018E,B01001_019E,B01001_020E,B01001_021E,B01001_022E,B01001_023E,B01001_024E,B01001_025E,B01001_026E,B01001_027E,B01001_028E,B01001_029E,B01001_030E,B01001_031E,B01001_032E,B01001_033E,B01001_034E,B01001_035E,B01001_036E,B01001_037E,B01001_038E,B01001_039E,B01001_040E,B01001_041E,B01001_042E,B01001_043E,B01001_044E,B01001_045E,B01001_046E,B01001_047E,B01001_048E,B01001_049E,GEO_ID,NAME,state,year
2908776,1449413,99309,102996,102582,61169,42080,23953,24550,66267,99768,96800,92248,85304,84853,91287,96152,34742,50326,30458,39388,47475,33026,23116,21564,1459363,94893,98404,98211,57981,39314,21468,20205,60719,92544,94108,88271,84568,84162,92935,96511,38292,54027,31794,41515,54390,41954,32691,40406,0400000US20,Kansas,20,2018
4440204,2186715,141232,144262,144977,88746,59574,33654,33280,92523,149271,140310,138038,138912,142750,150321,150850,55450,78084,48132,63752,80795,53660,32428,25714,2253489,133208,135826,139668,84100,57976,32402,30630,84142,146552,138502,139907,137624,144818,156215,159114,61513,84264,52792,72567,93662,67221,49036,51750,0400000US21,Kentucky,21,2018
4663616,2279968,157355,155651,158333,93518,61646,35539,35427,95651,171475,162487,151846,133405,137771,147343,149546,58353,78716,47911,63314,75941,51798,31648,25294,2383648,151984,153443,148083,90107,56229,35057,32991,94661,171621,164309,151197,139749,143848,157744,161386,63050,87388,52318,70920,92211,66799,48288,50265,0400000US22,Louisiana,22,2018
1332813,652299,33208,36685,36809,23992,16645,7905,7814,24183,39578,38216,36633,38475,43732,49817,52468,20335,28353,18783,24966,29707,19329,12801,11865,680514,31229,34016,35869,22853,16257,8151,8287,21013,39039,39013,37688,39921,45494,51691,55803,22106,30359,20023,25397,33552,23801,17484,21468,0400000US23,Maine,23,2018
6003435,2910323,186840,190426,191702,116895,79087,41166,39688,117449,209055,201992,191659,181182,197922,211521,201096,73391,101386,59610,77909,96912,64474,41872,37089,3093112,179334,182217,184210,112553,75966,37006,37144,116894,207708,209316,201341,192099,213331,229151,220599,81418,115354,69024,91215,118940,86661,60222,71409,0400000US24,Maryland,24,2018
6830193,3313979,185470,186240,204948,128230,103219,50860,51145,144653,249841,231315,203435,205395,223410,241487,233331,87325,119080,70133,92677,120067,76277,54287,51154,3516214,177211,183150,192509,122139,105793,51509,51423,142899,248151,234335,211385,214491,236974,254905,248449,95002,132260,80096,106104,142678,101225,79591,103935,0400000US25,Massachusetts,25,2018
9957488,4899118,293111,305110,322016,203374,138903,76663,74862,214985,331851,297916,291756,289022,320074,344126,350830,137589,186436,113006,146845,185639,124857,79592,70555,5058370,279263,291484,308026,193714,133123,72166,73251,205222,319172,296910,294852,294670,326234,354837,371246,143774,199976,122719,161277,213767,152714,114420,135553,0400000US26,Michigan,26,2018
5527358,2751748,179875,186233,184617,110022,72331,37892,36115,109878,188730,194922,182777,164773,174263,190011,194870,69964,100279,58582,75006,93172,63535,42503,41398,2775610,171865,177695,176879,104421,69724,35357,35401,107291,179320,189972,176299,161719,171011,190429,198585,72268,101458,60585,80594,102752,77644,59403,74938,0400000US27,Minnesota,27,2018
4876250,2359355,149090,153494,158617,98257,64980,35870,35040,95065,165052,149779,145896,142753,150054,156317,159122,61482,88291,52535,71531,96020,62845,39335,27930,2516895,144097,147570,151839,93412,65837,35427,33548,93230,167570,155546,154545,153194,159501,166787,174087,69293,96727,59558,83413,113624,82251,59420,56419,0400000US01,Alabama,01,2019
737068,384915,27062,26776,25921,15200,9746,6154,6029,19262,33136,30027,26569,21886,22918,24477,25581,9826,13370,8044,10016,10959,5844,3606,2506,352153,26175,26034,23348,13878,7880,4003,4659,14355,29069,27092,24203,20726,21008,22294,24504,9531,11786,6658,9489,11121,5978,4381,3981,0400000US02,Alaska,02,2019
7050299,3504509,221817,228224,241782,142358,99160,53415,52100,149020,260409,239400,224585,213395,211838,208076,204916,81354,116718,73745,106023,148322,108212,67677,51963,3545790,212151,222346,229950,136716,95118,49240,48432,135938,240952,224186,219056,209752,213146,214302,222592,89972,131135,85291,121138,166001,121595,77798,78983,0400000US04,Arizona,04,2019
2999370,1471760,96986,100270,101442,61421,41658,23070,21553,59319,100466,95098,92836,89930,89791,93367,94658,36335,51933,31556,45109,58729,42066,24801,19366,1527610,92650,96604,96362,58533,39493,20986,20550,56834,101534,94719,95001,90690,92242,96411,100562,40560,56728,35669,49920,69390,49857,35058,37257,0400000US05,Arkansas,05,2019
39283497,19526298,1254607,1257974,1318355,779960,529837,295438,285103,839739,1591508,1484698,1359631,1262846,1279131,1261859,1209041,463834,614865,371074,487802,617578,420939,278686,261793,19757199,1196921,1210252,1257108,746969,508404,264323,265098,801866,1486984,1404674,1321745,1261665,1284503,1275929,1264187,490110,668292,409644,556798,729375,518080,382536,451736,0400000US06,California,06,2019
5610349,2823201,170300,180524,185281,108925,76031,38961,38944,119820,229326,225509,205640,187064,184400,175678,179037,69192,94840,58391,76337,94181,58616,35363,30841,2787148,163732,172738,175663,103842,69757,35463,34961,109828,209736,206929,195787,175692,177373,176069,185125,73671,100805,61882,82036,105518,69081,47666,53794,0400000US08,Colorado,08,2019
957248,462890,27732,27087,30472,17785,12405,6316,6371,17411,33367,30570,28083,25779,28420,31229,32502,12291,17394,11414,15530,21051,14556,8097,7028,494358,27098,26687,29734,17089,12615,7365,5624,16137,33050,30631,28704,28032,30680,33925,35264,13674,21551,13413,18294,24484,17768,11140,11399,0400000US10,Delaware,10,2019
692683,328644,22874,17846,13997,7905,9643,5454,5185,13565,38104,37811,29531,20961,19316,18929,18428,6307,8526,5126,6780,9005,6075,3550,3726,364039,22166,16415,14948,7779,12113,5834,5523,17320,44689,41268,29655,22154,19166,18712,18311,7434,11144,6493,9081,11669,8720,5993,7452,0400000US11,District of Columbia,11,2019
3575074,1744245,94516,100677,113237,71984,52666,25439,25480,75282,113876,110366,103719,104301,117313,129088,128121,49589,67558,37806,51550,66940,45353,28713,30671,1830829,89292,97323,108088,68716,50883,25549,23831,69016,107227,110273,106939,109780,124830,137197,136683,53746,71436,41696,58640,79790,56882,43939,59073,0400000US09,Connecticut,09,2019
20901636,10220813,577348,576826,612687,369763,248570,137718,131506,381473,711093,665891,635575,617319,656770,689307,681973,264002,366371,240228,345946,488271,374097,238778,209301,10680823,550866,555437,585198,354337,233376,132905,126974,360907,685703,654166,644120,628269,675827,720130,749165,291389,423247,278339,401994,566616,424863,301637,335358,0400000US12,Florida,12,2019
10403847,5062096,335418,353427,367305,220516,149282,79395,74003,212984,370961,341060,337271,327778,344508,338704,321553,119863,156497,95312,132969,166635,110045,61592,45018,5341751,321259,336657,357469,213189,145658,71342,71424,206240,372643,356110,360810,348275,365106,358810,345304,133141,183400,112358,155095,204926,138987,92745,90803,0400000US13,Georgia,13,2019
1717750,861025,58246,63364,65530,38552,23727,11826,12076,36283,58383,55590,56576,51894,50657,49784,51927,21145,30322,19135,25519,33590,21993,14196,10710,856725,56115,60656,61888,36796,22710,12045,10752,31628,55987,55014,54996,50748,49267,50316,55143,21890,31028,20282,26617,35054,24517,15871,17405,0400000US16,Idaho,16,2019
1422094,713260,45831,43395,43196,24143,15908,10257,10735,31120,55319,51230,46511,44357,43478,43593,45686,18247,25446,17361,23254,29006,19501,12297,13389,708834,43011,41457,40419,23186,14475,7077,8285,26594,49228,48530,46465,41643,42877,44073,46315,18395,28006,18790,24432,31078,22239,17137,25122,0400000US15,Hawaii,15,2019
12770631,6272172,392347,402708,422860,257971,170240,87147,88649,261119,454276,439469,420916,400248,408702,417296,420547,163232,219357,129128,170245,218086,147616,96152,83861,6498459,374846,385427,407573,247794,161702,85549,83047,255353,443204,433341,421648,401719,416835,429387,442526,173996,237066,145630,192024,258252,190284,140389,170867,0400000US17,Illinois,17,2019
6665703,3284846,214647,219483,231006,139112,95812,50082,51500,142889,224782,210400,212415,196331,208959,214854,218670,85250,118973,70530,92350,116975,78760,48840,42226,3380857,204038,212799,217708,133698,91557,50112,48256,132511,220883,210372,210719,200536,208990,219664,229476,89369,126262,75858,105973,135529,100956,71508,84083,0400000US18,Indiana,18,2019
3139508,1558536,99916,104906,104340,63034,46381,24650,23975,68657,101316,100192,102137,88541,92715,98130,104304,42561,58756,35173,46332,58035,40629,27790,26066,1580972,96511,98586,101835,59609,44523,23792,22744,63264,97267,96289,96661,88288,91065,98510,108001,42140,60390,36715,49484,64402,50316,39464,51116,0400000US19,Iowa,19,2019
2910652,1450697,97911,101650,103190,61186,41830,24281,24886,65199,100285,96321,93812,85149,84321,88198,94711,35324,51647,30679,41036,49995,33707,23275,22104,1459955,93202,98296,97581,58054,39974,21745,19517,59871,92836,93513,91887,82465,83230,89464,96262,38423,55104,32783,43197,56635,42908,32705,40303,0400000US20,Kansas,20,2019
4449052,2190922,140962,141685,146827,88702,59899,34221,31431,91799,152781,138799,137791,138491,141754,146884,148696,57212,79744,48523,66129,83711,55925,33676,25280,2258130,133630,133781,140525,83194,58441,32853,30181,81828,148803,137184,140255,136893,143559,152592,157802,62920,86795,53014,74726,98301,69864,49954,51035,0400000US21,Kentucky,21,2019
4664362,2278986,156310,153422,159808,92871,61301,35386,33176,92537,171712,162436,154901,132464,135297,143590,147336,58912,81771,48096,65010,80297,53635,33329,25389,2385376,151125,151083,149049,89682,56468,34244,31734,91013,171239,163826,155994,138195,142177,153207,160256,64284,89538,53491,73377,96450,69962,48337,50645,0400000US22,Louisiana,22,2019
1335492,653942,33029,35824,37271,23704,16880,7754,7813,23696,39866,39039,37082,37841,42869,48164,52203,20194,29254,19157,24983,31794,20751,12848,11926,681550,31006,33633,35503,22528,16024,8099,8143,20468,39601,39689,38098,39464,44472,49963,55001,22302,31447,20353,26662,35332,24283,17362,22117,0400000US23,Maine,23,2019
6018848,2917613,186260,189641,192189,116720,78990,40874,38650,115660,208364,203171,195139,179393,194449,206881,201069,75917,104117,60018,80510,101508,67085,43476,37532,3101235,178608,181046,185189,112029,76588,36441,36488,114467,206536,209873,205889,189184,209176,224806,220566,84548,117252,70092,94549,123760,89871,61855,72422,0400000US24,Maryland,24,2019
